DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS,VISITOR_ABBR,HOME_ABBR
2021-01-28,LOS ANGELES LAKERS,92.0,DETROIT PISTONS,107.0,LAL,DET
2021-01-28,LOS ANGELES CLIPPERS,109.0,MIAMI HEAT,105.0,LAC,MIA
2021-01-28,GOLDEN STATE WARRIORS,93.0,PHOENIX SUNS,114.0,GSW,PHO
2021-01-29,INDIANA PACERS,105.0,CHARLOTTE HORNETS,108.0,IND,CHO
2021-01-29,ATLANTA HAWKS,116.0,WASHINGTON WIZARDS,100.0,ATL,WAS
2021-01-29,MILWAUKEE BUCKS,126.0,NEW ORLEANS PELICANS,131.0,MIL,NOP
2021-01-29,CLEVELAND CAVALIERS,81.0,NEW YORK KNICKS,102.0,CLE,NYK
2021-01-29,SACRAMENTO KINGS,126.0,TORONTO RAPTORS,124.0,SAC,TOR
2021-01-29,PHILADELPHIA 76ERS,118.0,MINNESOTA TIMBERWOLVES,94.0,PHI,MIN
2021-01-29,BROOKLYN NETS,147.0,OKLAHOMA CITY THUNDER,125.0,BRK,OKC
2021-01-29,LOS ANGELES CLIPPERS,116.0,ORLANDO MAGIC,90.0,LAC,ORL
2021-01-29,DENVER NUGGETS,109.0,SAN ANTONIO SPURS,119.0,DEN,SAS
2021-01-29,DALLAS MAVERICKS,101.0,UTAH JAZZ,120.0,DAL,UTA
2021-01-30,PORTLAND TRAIL BLAZERS,123.0,CHICAGO BULLS,122.0,POR,CHI
2021-01-30,MILWAUKEE BUCKS,114.0,CHARLOTTE HORNETS,126.0,MIL,CHO
