DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS
2021-11-29,New Orleans Pelicans,123.0,Los Angeles Clippers,104.0
2021-11-30,New York Knicks,110.0,Brooklyn Nets,112.0
2021-11-30,Memphis Grizzlies,98.0,Toronto Raptors,91.0
2021-11-30,Golden State Warriors,96.0,Phoenix Suns,104.0
2021-11-30,Detroit Pistons,92.0,Portland Trail Blazers,110.0
2021-11-30,Los Angeles Lakers,117.0,Sacramento Kings,92.0
2021-12-01,Atlanta Hawks,114.0,Indiana Pacers,111.0
2021-12-01,Denver Nuggets,103.0,Orlando Magic,108.0
2021-12-01,Minnesota Timberwolves,107.0,Washington Wizards,115.0
2021-12-01,Philadelphia 76ers,87.0,Boston Celtics,88.0
2021-12-01,Cleveland Cavaliers,111.0,Miami Heat,85.0
2021-12-01,Charlotte Hornets,125.0,Milwaukee Bucks,127.0
2021-12-01,Dallas Mavericks,139.0,New Orleans Pelicans,107.0
2021-12-01,Houston Rockets,114.0,Oklahoma City Thunder,110.0
2021-12-01,Sacramento Kings,124.0,Los Angeles Clippers,115.0
2021-12-02,Chicago Bulls,119.0,New York Knicks,115.0
2021-12-02,Milwaukee Bucks,93.0,Toronto Raptors,97.0
2021-12-02,Oklahoma City Thunder,79.0,Memphis Grizzlies,152.0
2021-12-02,Detroit Pistons,103.0,Phoenix Suns,114.0
2021-12-02,San Antonio Spurs,114.0,Portland Trail Blazers,83.0
2021-12-03,Miami Heat,113.0,Indiana Pacers,104.0
2021-12-03,Cleveland Cavaliers,116.0,Washington Wizards,101.0
2021-12-03,Philadelphia 76ers,98.0,Atlanta Hawks,96.0
2021-12-03,Minnesota Timberwolves,105.0,Brooklyn Nets,110.0
2021-12-03,Orlando Magic,116.0,Houston Rockets,118.0
2021-12-03,New Orleans Pelicans,107.0,Dallas Mavericks,91.0
2021-12-03,Boston Celtics,130.0,Utah Jazz,137.0
2021-12-03,Phoenix Suns,96.0,Golden State Warriors,118.0
2021-12-03,Los Angeles Clippers,119.0,Los Angeles Lakers,115.0
2021-12-04,Denver Nuggets,113.0,New York Knicks,99.0
2021-12-04,Chicago Bulls,111.0,Brooklyn Nets,107.0
2021-12-04,Miami Heat,102.0,Milwaukee Bucks,124.0
2021-12-04,Memphis Grizzlies,97.0,Dallas Mavericks,90.0
2021-12-04,San Antonio Spurs,112.0,Golden State Warriors,107.0
2021-12-04,Boston Celtics,145.0,Portland Trail Blazers,117.0
2021-12-04,Los Angeles Clippers,99.0,Sacramento Kings,104.0
2021-12-05,Utah Jazz,109.0,Cleveland Cavaliers,108.0
2021-12-05,Charlotte Hornets,130.0,Atlanta Hawks,127.0
2021-12-05,Washington Wizards,90.0,Toronto Raptors,102.0
2021-12-05,New Orleans Pelicans,108.0,Houston Rockets,118.0
2021-12-06,Philadelphia 76ers,127.0,Charlotte Hornets,124.0
2021-12-06,Oklahoma City Thunder,114.0,Detroit Pistons,103.0
2021-12-06,Washington Wizards,110.0,Indiana Pacers,116.0
2021-12-06,Memphis Grizzlies,105.0,Miami Heat,90.0
2021-12-06,Denver Nuggets,97.0,Chicago Bulls,109.0
2021-12-06,Cleveland Cavaliers,104.0,Milwaukee Bucks,112.0
2021-12-06,Atlanta Hawks,121.0,Minnesota Timberwolves,110.0
2021-12-06,San Antonio Spurs,104.0,Phoenix Suns,108.0
2021-12-06,Orlando Magic,95.0,Golden State Warriors,126.0
2021-12-06,Los Angeles Clippers,102.0,Portland Trail Blazers,90.0
2021-12-07,Brooklyn Nets,102.0,Dallas Mavericks,99.0
2021-12-07,New York Knicks,121.0,San Antonio Spurs,109.0
2021-12-07,Boston Celtics,102.0,Los Angeles Lakers,117.0
2021-12-08,Philadelphia 76ers,110.0,Charlotte Hornets,106.0
2021-12-08,Chicago Bulls,92.0,Cleveland Cavaliers,115.0
2021-12-08,Washington Wizards,119.0,Detroit Pistons,116.0
2021-12-08,New York Knicks,102.0,Indiana Pacers,122.0
2021-12-08,Milwaukee Bucks,104.0,Miami Heat,113.0
2021-12-08,Oklahoma City Thunder,110.0,Toronto Raptors,109.0
2021-12-08,Brooklyn Nets,104.0,Houston Rockets,114.0
2021-12-08,Dallas Mavericks,104.0,Memphis Grizzlies,96.0
2021-12-08,Utah Jazz,136.0,Minnesota Timberwolves,104.0
2021-12-08,Denver Nuggets,120.0,New Orleans Pelicans,114.0
2021-12-08,Portland Trail Blazers,94.0,Golden State Warriors,104.0
2021-12-08,Orlando Magic,130.0,Sacramento Kings,142.0
2021-12-08,Boston Celtics,111.0,Los Angeles Clippers,114.0
2021-12-09,Utah Jazz,118.0,Philadelphia 76ers,96.0
2021-12-09,Los Angeles Lakers,95.0,Memphis Grizzlies,108.0
2021-12-09,Denver Nuggets,111.0,San Antonio Spurs,123.0
2021-12-10,Sacramento Kings,123.0,Charlotte Hornets,124.0
2021-12-10,Dallas Mavericks,93.0,Indiana Pacers,106.0
2021-12-10,Brooklyn Nets,113.0,Atlanta Hawks,105.0
2021-12-10,New York Knicks,87.0,Toronto Raptors,90.0
2021-12-10,Milwaukee Bucks,123.0,Houston Rockets,114.0
2021-12-10,Cleveland Cavaliers,123.0,Minnesota Timberwolves,106.0
2021-12-10,Detroit Pistons,93.0,New Orleans Pelicans,109.0
2021-12-10,Los Angeles Lakers,116.0,Oklahoma City Thunder,95.0
2021-12-10,Boston Celtics,90.0,Phoenix Suns,111.0
2021-12-11,Orlando Magic,104.0,Los Angeles Clippers,106.0
2021-12-11,Utah Jazz,123.0,Washington Wizards,98.0
2021-12-11,Sacramento Kings,103.0,Cleveland Cavaliers,117.0
2021-12-11,Houston Rockets,106.0,Memphis Grizzlies,113.0
2021-12-11,Chicago Bulls,92.0,Miami Heat,118.0
2021-12-11,Golden State Warriors,93.0,Philadelphia 76ers,102.0
2021-12-11,Denver Nuggets,127.0,San Antonio Spurs,112.0
2021-12-12,Milwaukee Bucks,112.0,New York Knicks,97.0
2021-12-12,Brooklyn Nets,116.0,Detroit Pistons,104.0
2021-12-12,Dallas Mavericks,103.0,Oklahoma City Thunder,84.0
2021-12-12,New Orleans Pelicans,97.0,San Antonio Spurs,112.0
2021-12-12,Minnesota Timberwolves,116.0,Portland Trail Blazers,111.0
