DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS,MARGIN,HOME_ABBR,VISITOR_ABBR,HOME_TEAM_WINS,ID
2021-01-23,MIAMI HEAT,124.0,BROOKLYN NETS,128.0,4,BRK,MIA,1,224
2021-01-23,PHILADELPHIA 76ERS,114.0,DETROIT PISTONS,110.0,-4,DET,PHI,0,225
2021-01-23,NEW ORLEANS PELICANS,110.0,MINNESOTA TIMBERWOLVES,120.0,10,MIN,NOP,1,226
2021-01-23,LOS ANGELES LAKERS,101.0,CHICAGO BULLS,90.0,-11,CHI,LAL,0,227
2021-01-23,HOUSTON ROCKETS,133.0,DALLAS MAVERICKS,108.0,-25,DAL,HOU,0,228
2021-01-23,DENVER NUGGETS,120.0,PHOENIX SUNS,112.0,-8,PHO,DEN,0,229
2021-01-23,GOLDEN STATE WARRIORS,108.0,UTAH JAZZ,127.0,19,UTA,GSW,1,230
2021-01-24,TORONTO RAPTORS,107.0,INDIANA PACERS,102.0,-5,IND,TOR,0,231
2021-01-24,OKLAHOMA CITY THUNDER,100.0,LOS ANGELES CLIPPERS,108.0,8,LAC,OKC,1,232
2021-01-24,CLEVELAND CAVALIERS,103.0,BOSTON CELTICS,141.0,38,BOS,CLE,1,233
2021-01-24,CHARLOTTE HORNETS,107.0,ORLANDO MAGIC,104.0,-3,ORL,CHO,0,234
2021-01-24,ATLANTA HAWKS,115.0,MILWAUKEE BUCKS,129.0,14,MIL,ATL,1,235
2021-01-24,WASHINGTON WIZARDS,101.0,SAN ANTONIO SPURS,121.0,20,SAS,WAS,1,236
2021-01-24,NEW YORK KNICKS,113.0,PORTLAND TRAIL BLAZERS,116.0,3,POR,NYK,1,237
2021-01-25,PHILADELPHIA 76ERS,104.0,DETROIT PISTONS,119.0,15,DET,PHI,1,238
2021-01-25,TORONTO RAPTORS,114.0,INDIANA PACERS,129.0,15,IND,TOR,1,239
2021-01-25,CHARLOTTE HORNETS,108.0,ORLANDO MAGIC,117.0,9,ORL,CHO,1,240
2021-01-25,MIAMI HEAT,85.0,BROOKLYN NETS,98.0,13,BRK,MIA,1,241
2021-01-25,LOS ANGELES LAKERS,115.0,CLEVELAND CAVALIERS,108.0,-7,CLE,LAL,0,242
2021-01-25,DENVER NUGGETS,117.0,DALLAS MAVERICKS,113.0,-4,DAL,DEN,0,243
